Matricula;Periodo de Ingresso;Forma de Ingresso;Curriculo;Curriculo Entrada;Estado Civil;Sexo;Idade Aproximada no Ingresso;Cor;Cota;Status;Tipo de Evasao;Periodo de Evasao;Ingressantes
111110060;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;19;Branca;-;INATIVO;GRADUADO;2019.2;1
111110061;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;28;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2011.2;1
111110063;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;GRADUADO;2017.2;1
111110064;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2015.2;1
111110066;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2014.2;1
111110069;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Branca;-;INATIVO;GRADUADO;2018.1;1
111110070;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111110071;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO DE MATRICULA;2018.2;1
111110076;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2015.2;1
111110080;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2017.1;1
111110082;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2011.1;1
111110083;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Parda;-;INATIVO;GRADUADO;2015.1;1
111110085;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2011.2;1
111110087;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;25;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.1;1
111110089;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;25;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2014.2;1
111110090;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2016.1;1
111110091;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;16;Preta;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2014.2;1
111110092;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;19;Branca;-;INATIVO;GRADUADO;2016.1;1
111110096;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;28;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2014.2;1
111110100;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;20;Preta;-;INATIVO;CANCELAMENTO POR ABANDONO;2015.1;1
111110103;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2016.1;1
111110105;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;19;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2011.1;1
111110114;2011.1;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;26;Branca;-;INATIVO;GRADUADO;2015.2;1
111110115;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2011.1;1
111110116;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.1;1
111110118;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Nao declarada;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2015.1;1
111110119;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;21;Branca;-;INATIVO;GRADUADO;2020.1;1
111110120;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2013.1;1
111110121;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Parda;-;INATIVO;GRADUADO;2015.2;1
111110124;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;26;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2016.1;1
111110125;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2011.2;1
111110126;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2017.2;1
111110127;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;23;Parda;-;INATIVO;GRADUADO;2017.2;1
111110128;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;16;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2015.2;1
111110129;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;23;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2011.2;1
111110130;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;GRADUADO;2016.1;1
111110132;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2011.1;1
111110133;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2016.1;1
111110134;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2012.1;1
111110135;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;24;Branca;-;INATIVO;GRADUADO;2015.2;1
111110894;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;27;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2;1
111110895;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2016.2;1
111110896;2011.1;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;42;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111110898;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2017.1;1
111110900;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;GRADUADO;2017.2;1
111110901;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2013.1;1
111110904;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2;1
111110905;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;19;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2014.1;1
111110907;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Amarela;-;INATIVO;GRADUADO;2016.1;1
111110908;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111110911;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Branca;-;INATIVO;GRADUADO;2016.1;1
111110912;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2016.2;1
111110915;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;22;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.2;1
111110919;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.2;1
111110921;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2016.1;1
111110922;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2016.2;1
111110925;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;19;Parda;-;INATIVO;GRADUADO;2016.1;1
111110926;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;ATIVO;REGULAR;-;1
111110927;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Amarela;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2011.2;1
111110928;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;20;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2014.2;1
111110929;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;25;Branca;-;INATIVO;GRADUADO;2016.1;1
111110931;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2015.2;1
111110933;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2015.1;1
111110935;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;ATIVO;REGULAR;-;1
111110939;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;20;Branca;-;INATIVO;GRADUADO;2015.1;1
111110940;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2021.2;1
111110941;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2016.2;1
111150279;2011.1;CONVENIO PEC-G;1999;1999;Solteiro;MASCULINO;25;N? declarada;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.1;1
111150280;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.1;1
111150282;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.1;1
111150283;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;GRADUADO;2017.1;1
111150285;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111150288;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Amarela;-;INATIVO;CANCELAMENTO POR ABANDONO;2011.2;1
111150427;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;25;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.2;1
111150430;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;23;Preta;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2016.1;1
111150493;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2018.2;1
111150494;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Amarela;-;INATIVO;GRADUADO;2018.2;1
111150551;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;GRADUADO;2016.2;1
111150553;2011.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;25;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2011.2;1
111210049;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2;1
111210050;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Preta;-;INATIVO;GRADUADO;2018.1;1
111210055;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2012.2;1
111210056;2011.2;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;20;Branca;-;INATIVO;GRADUADO;2016.1;1
111210062;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2016.1;1
111210064;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;24;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2014.2;1
111210068;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.1;1
111210079;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;GRADUADO;2016.2;1
111210080;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2;1
111210081;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2012.2;1
111210085;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111210089;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;28;N? declarada;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2011.2;1
111210096;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.2;1
111210098;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2013.1;1
111210102;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2012.2;1
111210391;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2015.2;1
111210392;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2014.2;1
111210393;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;22;Branca;-;INATIVO;GRADUADO;2019.2;1
111210395;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;25;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.1;1
111210396;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;20;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2015.1;1
111210397;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;25;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2014.1;1
111210398;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.2;1
111210399;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;22;N? declarada;-;INATIVO;GRADUADO;2015.1;1
111210400;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;GRADUADO;2016.2;1
111210401;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;19;Branca;-;INATIVO;GRADUADO;2018.1;1
111210403;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2;1
111210405;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;22;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.1;1
111210406;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;23;Branca;-;INATIVO;CANCELADO NOVO INGRESSO OUTRO CURSO;2014.1;1
111210407;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2017.1;1
111210410;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2014.1;1
111210411;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2019.1;1
111210412;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Amarela;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2015.1;1
111210413;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;20;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2015.2;1
111210414;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;GRADUADO;2019.1;1
111210415;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111210416;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111210417;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;16;Parda;-;INATIVO;GRADUADO;2016.1;1
111210421;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2017.1;1
111210422;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Ind?ena;-;INATIVO;GRADUADO;2016.1;1
111210423;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.1;1
111210426;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;GRADUADO;2020.2;1
111210428;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.2;1
111210430;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2014.2;1
111210432;2011.2;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;36;Parda;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.1;1
111210433;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111210434;2011.2;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;18;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.2;1
111210437;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.1;1
111210438;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Parda;-;INATIVO;GRADUADO;2016.2;1
111210441;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2015.2;1
111210442;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;GRADUADO;2016.2;1
111210445;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;24;Branca;-;INATIVO;GRADUADO;2017.2;1
111210446;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.2;1
111210447;2011.2;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;25;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2011.2;1
111210448;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;20;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2015.1;1
111210449;2011.2;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;32;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2013.2;1
111210451;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2014.2;1
111210452;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2016.1;1
111210653;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;GRADUADO;2016.1;1
111210656;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2014.2;1
111210658;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;GRADUADO;2017.1;1
111210659;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;23;Preta;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2014.2;1
111210660;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Preta;-;INATIVO;CANCELAMENTO POR ABANDONO;2014.1;1
111210661;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2013.1;1
111210663;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;27;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.1;1
111210665;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2014.1;1
111210666;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;28;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2;1
111210667;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Preta;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2;1
111210669;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2015.1;1
111210787;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;25;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2014.2;1
111210792;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;GRADUADO;2016.2;1
111210794;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.1;1
111210796;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;21;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2014.1;1
111210799;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;20;Amarela;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.1;1
111210840;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2013.2;1
111210841;2011.2;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;25;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
111210870;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;20;Branca;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2016.1;1
111210872;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Parda;-;INATIVO;GRADUADO;2016.1;1
111210873;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;17;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2012.2;1
111210885;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.2;1
111210898;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;24;Branca;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.1;1
111210943;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;20;Branca;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2013.2;1
111210945;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Amarela;-;INATIVO;CANCELADO REPROVOU TODAS POR FALTAS;2012.1;1
111210947;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;19;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.1;1
111210951;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Branca;-;INATIVO;GRADUADO;2017.2;1
111250009;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2013.1;1
111250014;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;N? declarada;-;INATIVO;GRADUADO;2018.2;1
111250017;2011.2;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;18;Parda;-;INATIVO;CANCELAMENTO P SOLICITACAO ALUNO;2013.2;1
112110001;2012.1;TRANSFERENCIA;1999;1999;Solteiro;MASCULINO;20;Branca;-;INATIVO;GRADUADO;2019.1;1
112110002;2012.1;TRANSFERENCIA;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;GRADUADO;2016.2;1
112110003;2012.1;TRANSFERENCIA;1999;1999;Solteiro;MASCULINO;22;Parda;-;INATIVO;CANCELAMENTO POR ABANDONO;2012.2;1
112110019;2012.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;17;Branca;-;INATIVO;GRADUADO;2017.1;1
112110020;2012.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Branca;-;INATIVO;GRADUADO;2017.1;1
112110024;2012.1;VESTIBULAR  ENEM;1999;1999;Solteiro;MASCULINO;19;Parda;-;INATIVO;CANCELADO 3 REPROV MESMA DISCIPLINA;2014.1;1
112110025;2012.1;VESTIBULAR  ENEM;1999;1999;Solteiro;FEMININO;18;Branca;-;INATIVO;CANCELAMENTO POR ABANDONO;2014.2;1
112110036;2012.1;VESTIBULAR  ENEM;1999;1999;Casado;MASCULINO;31;Parda;-;INATIVO;GRADUADO;2016.1;1
